concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
2004346	40493226	Maps to	20180625	20991231	
2004529	4275113	Maps to	20180625	20991231	
2004742	4128031	Maps to	20180625	20991231	
2004762	4150970	Maps to	20180625	20991231	
2004766	4311671	Maps to	20180625	20991231	
2004790	4015701	Maps to	20180625	20991231	
2005891	4203771	Maps to	20180625	20991231	
2005904	43531648	Maps to	20180625	20991231	
2006210	4263590	Maps to	20180625	20991231	
2006245	4195136	Maps to	20180625	20991231	
2006416	4286804	Maps to	20180625	20991231	
2006918	4230911	Maps to	20180625	20991231	
2007000	4181917	Maps to	20180625	20991231	
2007038	4254766	Maps to	20180625	20991231	
2007077	4163951	Maps to	20180625	20991231	
2007106	4240345	Maps to	20180625	20991231	
2007469	4293738	Maps to	20180625	20991231	
2007868	4134565	Maps to	20180625	20991231	
2008124	4238715	Maps to	20180625	20991231	
2008315	4163708	Maps to	20180625	20991231	
3000053	3000053	Maps to	19960906	20991231	
3000053	3000053	Maps to	19960906	20991231	
3000285	3000285	Maps to	19700101	20991231	
3000285	3000285	Maps to	19700101	20991231	
3000330	3000330	Maps to	19700101	20991231	
3000330	3000330	Maps to	19700101	20991231	
3000348	3000348	Maps to	19700101	20991231	
3000348	3000348	Maps to	19700101	20991231	
3000417	3023430	Maps to	19700101	20991231	
3000481	3000481	Maps to	19700101	20991231	
3000481	3000481	Maps to	19700101	20991231	
3000483	3000483	Maps to	19700101	20991231	
3000483	3000483	Maps to	19700101	20991231	
3000536	3001247	Maps to	19700101	20991231	
3000876	3000876	Maps to	19700101	20991231	
3000876	3000876	Maps to	19700101	20991231	
3000905	3000905	Maps to	19700101	20991231	
3000905	3000905	Maps to	19700101	20991231	
3000963	3000963	Maps to	19700101	20991231	
3000963	3000963	Maps to	19700101	20991231	
3001157	3023103	Maps to	19700101	20991231	
3001247	3001247	Maps to	19700101	20991231	
3001247	3001247	Maps to	19700101	20991231	
3001435	3023430	Maps to	19700101	20991231	
3001488	3001488	Maps to	19700101	20991231	
3001488	3001488	Maps to	19700101	20991231	
3001802	3001802	Maps to	19700101	20991231	
3001802	3001802	Maps to	19700101	20991231	
3001972	3020655	Maps to	19700101	20991231	
3002385	3002385	Maps to	19700101	20991231	
3002385	3002385	Maps to	19700101	20991231	
3002736	3002736	Maps to	19700101	20991231	
3002736	3002736	Maps to	19700101	20991231	
3004249	3004249	Maps to	19960906	20991231	
3004249	3004249	Maps to	19960906	20991231	
3004295	3004295	Maps to	19700101	20991231	
3004295	3004295	Maps to	19700101	20991231	
3004410	3004410	Maps to	19700101	20991231	
3004410	3004410	Maps to	19700101	20991231	
3004501	3004501	Maps to	19700101	20991231	
3004501	3004501	Maps to	19700101	20991231	
3005136	3005136	Maps to	19700101	20991231	
3005136	3005136	Maps to	19700101	20991231	
3005456	3005456	Maps to	19700101	20991231	
3005456	3005456	Maps to	19700101	20991231	
3005897	3005897	Maps to	19700101	20991231	
3005897	3005897	Maps to	19700101	20991231	
3005984	3007070	Maps to	19700101	20991231	
3006451	3006451	Maps to	19700101	20991231	
3006451	3006451	Maps to	19700101	20991231	
3006513	3006513	Maps to	19700101	20991231	
3006513	3006513	Maps to	19700101	20991231	
3006575	3006575	Maps to	19700101	20991231	
3006575	3006575	Maps to	19700101	20991231	
3006734	3006734	Maps to	19700101	20991231	
3006734	3006734	Maps to	19700101	20991231	
3006906	3006906	Maps to	19980709	20991231	
3006906	3006906	Maps to	19980709	20991231	
3006923	3006923	Maps to	19700101	20991231	
3006923	3006923	Maps to	19700101	20991231	
3007070	3007070	Maps to	19700101	20991231	
3007070	3007070	Maps to	19700101	20991231	
3007365	3020630	Maps to	19700101	20991231	
3007461	3007461	Maps to	19700101	20991231	
3007461	3007461	Maps to	19700101	20991231	
3007727	3007727	Maps to	19700101	20991231	
3007727	3007727	Maps to	19700101	20991231	
3007876	3007876	Maps to	19700101	20991231	
3007876	3007876	Maps to	19700101	20991231	
3008204	3008204	Maps to	19700101	20991231	
3008204	3008204	Maps to	19700101	20991231	
3008598	3008598	Maps to	19700101	20991231	
3008598	3008598	Maps to	19700101	20991231	
3008841	3008841	Maps to	19700101	20991231	
3008841	3008841	Maps to	19700101	20991231	
3009201	3009201	Maps to	19700101	20991231	
3009201	3009201	Maps to	19700101	20991231	
3009261	3009261	Maps to	19700101	20991231	
3009261	3009261	Maps to	19700101	20991231	
3009540	3004501	Maps to	19700101	20991231	
3009542	3009542	Maps to	19700101	20991231	
3009542	3009542	Maps to	19700101	20991231	
3009744	3009744	Maps to	19700101	20991231	
3009744	3009744	Maps to	19700101	20991231	
3009966	3009966	Maps to	19980825	20991231	
3009966	3009966	Maps to	19980825	20991231	
3010784	3020630	Maps to	19700101	20991231	
3010813	3010813	Maps to	19700101	20991231	
3010813	3010813	Maps to	19700101	20991231	
3011104	3020630	Maps to	19700101	20991231	
3011397	3011397	Maps to	19700101	20991231	
3011397	3011397	Maps to	19700101	20991231	
3011505	3011505	Maps to	19700101	20991231	
3011505	3011505	Maps to	19700101	20991231	
3011788	3006734	Maps to	19700101	20991231	
3012030	3012030	Maps to	19700101	20991231	
3012030	3012030	Maps to	19700101	20991231	
3012494	3012494	Maps to	19700101	20991231	
3012494	3012494	Maps to	19700101	20991231	
3012641	3023430	Maps to	19700101	20991231	
3012888	3012888	Maps to	19960906	20991231	
3012888	3012888	Maps to	19960906	20991231	
3013603	3013603	Maps to	19700101	20991231	
3013603	3013603	Maps to	19700101	20991231	
3013682	3013682	Maps to	19700101	20991231	
3013682	3013682	Maps to	19700101	20991231	
3013721	3013721	Maps to	19700101	20991231	
3013721	3013721	Maps to	19700101	20991231	
3013898	3022192	Maps to	19700101	20991231	
3013943	3009201	Maps to	19700101	20991231	
3014051	3014051	Maps to	19700101	20991231	
3014051	3014051	Maps to	19700101	20991231	
3014094	3014094	Maps to	19700101	20991231	
3014094	3014094	Maps to	19700101	20991231	
3014576	3014576	Maps to	19700101	20991231	
3014576	3014576	Maps to	19700101	20991231	
3014599	3014599	Maps to	19700101	20991231	
3014599	3014599	Maps to	19700101	20991231	
3014902	3014902	Maps to	20020809	20991231	
3014902	3014902	Maps to	20020809	20991231	
3015076	3015076	Maps to	19700101	20991231	
3015076	3015076	Maps to	19700101	20991231	
3015182	3015182	Maps to	19700101	20991231	
3015182	3015182	Maps to	19700101	20991231	
3015632	3015632	Maps to	19700101	20991231	
3015632	3015632	Maps to	19700101	20991231	
3016502	3016502	Maps to	19700101	20991231	
3016502	3016502	Maps to	19700101	20991231	
3016723	3016723	Maps to	19700101	20991231	
3016723	3016723	Maps to	19700101	20991231	
3017990	3024929	Maps to	19700101	20991231	
3018572	3018572	Maps to	19700101	20991231	
3018572	3018572	Maps to	19700101	20991231	
3018834	3018834	Maps to	19700101	20991231	
3018834	3018834	Maps to	19700101	20991231	
3019053	3027114	Maps to	19700101	20991231	
3019109	3001247	Maps to	19700101	20991231	
3019406	3019406	Maps to	19700101	20991231	
3019406	3019406	Maps to	19700101	20991231	
3019550	3019550	Maps to	19700101	20991231	
3019550	3019550	Maps to	19700101	20991231	
3020416	3020416	Maps to	19700101	20991231	
3020416	3020416	Maps to	19700101	20991231	
